# source, target, label, movie_id, weight
0,39,143349,659,1
0,55,143363,659,1
0,71,143365,659,1
0,82,143364,659,1
0,95,143348,659,2
0,38,143357,659,1
0,85,143352,659,1
1,25,143002,659,1
1,89,143003,659,1
2,17,143296,659,1
2,25,143305,659,1
2,64,143306,659,1
2,68,143295,659,2
2,98,142980,659,2
3,9,143286,659,1
3,58,143287,659,1
3,69,143283,659,1
4,38,143136,659,1
4,23,143107,659,1
4,25,143125,659,1
4,28,143134,659,1
4,61,143132,659,1
4,70,143120,659,1
4,72,143129,659,1
4,79,143114,659,1
5,36,143218,659,1
5,46,143210,659,1
5,89,143217,659,1
5,25,143214,659,1
6,13,143054,659,1
6,68,143050,659,1
6,86,143052,659,1
7,8,143036,659,1
7,9,143010,659,1
7,25,143006,659,1
7,36,143009,659,1
7,44,143007,659,1
7,48,143008,659,1
7,68,143005,659,4
7,87,143011,659,1
7,96,143229,659,1
7,34,142968,659,1
7,47,143060,659,1
7,67,143256,659,1
7,73,143059,659,1
7,78,143233,659,1
8,68,143038,659,1
9,14,143035,659,1
9,22,143040,659,1
9,25,143039,659,10
9,41,143279,659,1
9,54,143278,659,1
9,58,143288,659,1
9,68,143292,659,1
9,87,143032,659,1
9,94,143091,659,1
9,95,143291,659,1
9,36,143030,659,1
9,44,143025,659,2
9,48,143028,659,1
9,56,143075,659,1
9,60,143080,659,1
9,62,143087,659,1
9,63,143304,659,1
9,69,143281,659,4
9,89,143089,659,1
10,92,143156,659,1
10,25,143154,659,1
11,39,143068,659,1
11,95,143069,659,1
12,25,142969,659,2
12,36,142970,659,1
13,25,143199,659,1
13,27,143202,659,1
13,29,143221,659,1
13,36,143200,659,1
13,40,143201,659,1
13,68,143222,659,1
13,75,143220,659,1
13,50,143194,659,1
13,80,143189,659,1
13,86,143053,659,2
14,25,143034,659,1
15,40,143323,659,1
15,66,143324,659,1
16,25,143092,659,1
17,47,143273,659,1
17,68,143297,659,1
18,89,142997,659,1
19,25,143096,659,2
19,62,143097,659,1
19,68,143100,659,1
20,25,143152,659,1
20,43,143149,659,1
20,63,143142,659,1
20,74,143146,659,1
20,79,143151,659,1
21,47,143258,659,1
21,53,143262,659,1
21,67,143044,659,1
21,68,143226,659,3
21,89,143264,659,1
22,25,143041,659,1
23,25,143103,659,1
23,28,143106,659,1
23,38,143108,659,1
23,61,143105,659,1
23,70,143102,659,1
23,72,143104,659,1
23,79,143101,659,1
24,52,143162,659,1
24,70,143160,659,1
25,30,142962,659,1
25,32,143343,659,1
25,33,142998,659,1
25,36,142971,659,7
25,40,143204,659,2
25,42,142973,659,1
25,46,143211,659,1
25,48,143019,659,1
25,51,143166,659,1
25,53,143213,659,1
25,54,143277,659,1
25,57,142972,659,1
25,59,143344,659,1
25,61,143123,659,1
25,62,142951,659,5
25,68,143098,659,3
25,72,143122,659,1
25,76,143158,659,1
25,80,142949,659,2
25,81,143164,659,1
25,87,143022,659,1
25,89,142950,659,4
25,91,142963,659,1
25,92,143155,659,2
25,94,143085,659,1
25,26,143238,659,1
25,27,143250,659,1
25,28,143334,659,1
25,35,143168,659,1
25,37,143178,659,1
25,38,143173,659,1
25,39,143252,659,1
25,43,143148,659,1
25,44,143299,659,1
25,50,143195,659,1
25,56,143072,659,1
25,60,143077,659,1
25,63,143141,659,2
25,64,143309,659,3
25,70,143116,659,1
25,74,143145,659,1
25,77,143316,659,1
25,79,143110,659,2
25,83,142959,659,1
25,84,143247,659,1
25,86,143184,659,1
25,88,142945,659,1
25,95,143243,659,2
25,97,143159,659,1
25,98,143165,659,1
26,27,143236,659,1
26,36,143239,659,1
26,39,143237,659,1
26,84,143235,659,1
26,95,143234,659,1
27,36,143251,659,1
27,39,143249,659,1
27,40,143208,659,1
27,50,143198,659,1
27,80,143193,659,1
27,84,143245,659,1
27,86,143187,659,1
27,95,143241,659,1
28,32,143336,659,1
28,38,143135,659,1
28,40,143335,659,1
28,59,143337,659,1
28,68,143333,659,1
28,61,143131,659,1
28,70,143119,659,1
28,72,143128,659,1
28,79,143113,659,1
28,95,143327,659,1
29,68,143225,659,1
29,75,143223,659,1
30,91,142964,659,1
30,36,142957,659,1
30,83,142960,659,1
31,93,143270,659,1
32,59,143347,659,1
32,40,143345,659,1
32,68,143340,659,1
32,95,143331,659,1
33,62,143000,659,1
34,68,142966,659,1
35,36,143169,659,1
36,40,143206,659,1
36,83,142955,659,1
36,87,143031,659,1
36,91,142958,659,1
36,39,143253,659,1
36,44,143024,659,1
36,48,143027,659,1
36,50,143196,659,1
36,68,143015,659,1
36,80,143191,659,1
36,84,143248,659,1
36,86,143185,659,1
36,89,143219,659,1
36,95,143244,659,1
37,50,143179,659,1
37,38,143172,659,1
37,68,143175,659,1
38,50,143174,659,1
38,55,143359,659,1
38,71,143361,659,1
38,82,142986,659,4
38,95,143358,659,1
38,49,142982,659,1
38,61,143133,659,1
38,68,143064,659,4
38,70,143121,659,1
38,72,143130,659,1
38,79,143115,659,1
38,85,142991,659,2
39,65,143067,659,1
39,95,143070,659,3
39,84,143246,659,1
40,42,143311,659,1
40,59,143346,659,1
40,66,143322,659,1
40,50,143197,659,1
40,68,143325,659,2
40,80,143192,659,1
40,86,143186,659,1
40,95,143330,659,1
42,62,142977,659,1
42,57,142975,659,1
43,79,143147,659,1
43,63,143139,659,1
43,74,143143,659,1
44,48,143023,659,1
44,63,143300,659,1
44,87,143026,659,1
44,68,143013,659,1
45,68,143048,659,1
47,68,143260,659,2
47,73,143058,659,1
48,87,143029,659,1
48,68,143014,659,1
49,82,142984,659,1
49,85,142983,659,1
50,68,143177,659,1
50,80,143188,659,1
50,86,143182,659,1
52,70,143161,659,1
53,68,143263,659,1
53,89,143261,659,1
55,71,143370,659,1
55,82,143369,659,1
55,85,143354,659,1
55,95,143366,659,1
56,60,143071,659,1
56,62,143073,659,1
56,89,143074,659,1
56,94,143076,659,1
56,93,143271,659,1
56,98,143298,659,1
57,62,142976,659,1
58,69,143285,659,1
59,68,143341,659,1
59,95,143332,659,1
60,62,143078,659,1
60,89,143079,659,1
60,94,143081,659,1
61,70,143118,659,1
61,72,143127,659,1
61,79,143112,659,1
62,89,143086,659,1
62,94,143088,659,1
62,80,142946,659,2
63,74,143138,659,1
63,79,143140,659,1
65,95,143066,659,1
67,68,143045,659,2
68,73,143055,659,1
68,75,143269,659,1
68,78,143231,659,1
68,82,142990,659,2
68,86,143049,659,1
68,87,143017,659,1
68,90,143047,659,1
68,96,143230,659,1
68,98,143313,659,1
68,85,142992,659,1
68,89,143265,659,1
68,95,143293,659,3
69,75,143268,659,1
70,72,143117,659,1
70,79,143109,659,1
71,82,143371,659,1
71,85,143356,659,1
71,95,143368,659,1
72,79,143111,659,1
74,79,143144,659,1
80,89,142952,659,1
80,86,143181,659,1
82,85,142987,659,3
82,95,143367,659,1
83,91,142961,659,1
84,95,143240,659,1
85,95,143353,659,1
89,94,143090,659,1
95,96,143326,659,1
95,98,143315,659,1
